strategy,round,labeled_size,median_qerror,p90_qerror,p95_qerror
random,1,1000,91.82242990654206,1498.0689459956732,6876.0
random,2,1200,128.08963224513576,1789.4199632742282,2995.0
random,3,1400,158.5309716496157,1656.3867849786088,2000.3328901291272
random,4,1600,117.80844875765882,1207.1000000000004,1477.4317800003535
random,5,1800,147.30081074283217,879.5889970721112,1257.1275572734987
mc_dropout,1,1000,91.82242990654206,1498.0689459956732,6876.0
mc_dropout,2,1200,127.35439106329085,1721.3054473987454,2913.0
mc_dropout,3,1400,180.33243330255647,1377.8210703715883,1728.554407322235
mc_dropout,4,1600,126.88498904438791,984.866699751861,1330.6721317983327
mc_dropout,5,1800,154.248382893976,909.1849370049275,1227.488089352742
