strategy,display_name,final_labeled_size,final_median_qerror,final_p90_qerror,final_p95_qerror,best_median_qerror,round_of_best_median,final_validation_mae
random,Random Sampling,1800,147.30081074283217,879.5889970721112,1257.1275572734987,91.82242990654206,1,13012636.354
mc_dropout,MC Dropout,1800,154.248382893976,909.1849370049275,1227.488089352742,91.82242990654206,1,13016951.41
