labeled_size,median_qerror,round
1000,19.43092923512024,1
1200,9.584651185517266,2
1400,7.0,3
1600,5.1074536980946075,4
1800,4.0,5
2000,3.3048143961282355,6
2200,3.0,7
2400,2.8193916223427116,8
2600,2.55693365451401,9
2800,2.3140785968575326,10
